Instances,UB,A multi-action deep reinforcement learning framework for flexible Job-shop scheduling problem,Flexible Job-Shop Scheduling via Graph Neural Network and Deep Reinforcement Learning,Solving flexible job shop scheduling problems via deep reinforcement learning,A reinforcement learning method for flexible job shop scheduling based on multi-head attention and deep residual network,
Instances,UB,75,67,117,158,
mt10x,918,1176,1096,1084,1022,
mt10xx,918,1176,1069,1084,996,
mt10xxx,918,1176,1069,1084,996,
mt10xy,906,1148,1090,1055,996,
mt10xyz,847,1180,1003,1020,905,
mt10c1,928,1240,1159,1096,1033,
mt10cc,910,1226,1100,1068,973,
setb4x,925,1210,1118,1022,1026,
setb4xx,925,1210,1119,1015,1027,
setb4xxx,925,1210,1119,1040,1007,
setb4xy,916,1111,1081,1019,984,
setb4xyz,905,1095,1149,1000,1000,
setb4c9,919,1225,1073,1037,1006,
setb4cc,909,1180,1016,993,992,
seti5x,1201,1592,1377,1363,1296,
seti5xx,1199,1592,1377,1344,1308,
seti5xxx,1197,1592,1373,1340,1317,
seti5xy,1136,1438,1299,1271,1249,
seti5xyz,1125,1298,1250,1254,1228,
seti5c12,1174,1467,1390,1346,1277,
seti5cc,1136,1438,1299,1271,1285,
mean,997.00 ,1284.76 ,1172.67 ,1133.62 ,1091.57 ,
