Instance,size,UB,Solving job shop scheduling problems via deep reinforcement learning,Learning to Dispatch for Job Shop Scheduling via Deep Reinforcement Learning
Dmu01,20 × 15,2563,3274,3323
Dmu02,20 × 15,2706,3464,3630
Dmu03,20 × 15,2731,3163,3660
Dmu04,20 × 15,2669,3144,3816
Dmu05,20 × 15,2749,3497,3897
Dmu41,20 × 15,3248,4113,4316
Dmu42,20 × 15,3390,4608,4858
Dmu43,20 × 15,3441,4183,4887
Dmu44,20 × 15,3488,4556,5151
Dmu45,20 × 15,3272,4395,4615
Dmu06,20 × 20,3244,3956,4358
Dmu07,20 × 20,3046,3574,3671
Dmu08,20 × 20,3188,3867,4048
Dmu09,20 × 20,3092,3774,4482
Dmu10,20 × 20,2984,3815,4021
Dmu46,20 × 20,4035,4989,5876
Dmu47,20 × 20,3939,4955,5771
Dmu48,20 × 20,3763,4785,5034
Dmu49,20 × 20,3710,4897,5470
Dmu50,20 × 20,3729,4716,5314
Dmu11,30 × 15,3430,4404,4435
Dmu12,30 × 15,3495,4203,4864
Dmu13,30 × 15,3681,4949,4918
Dmu14,30 × 15,3394,4104,4130
Dmu15,30 × 15,3343,4213,4392
Dmu51,30 × 15,4167,5521,6241
Dmu52,30 × 15,4311,5608,6714
Dmu53,30 × 15,4394,5906,6724
Dmu54,30 × 15,4362,5519,6522
Dmu55,30 × 15,4271,5698,6639
Dmu56,30 × 15,3751,4500,4953
Dmu17,30 × 20,3814,4716,5379
Dmu18,30 × 20,3844,4708,5100
Dmu19,30 × 20,3768,4953,4889
Dmu20,30 × 20,3710,4530,4859
Dmu56,30 × 20,4941,6439,7328
Dmu57,30 × 20,4655,6072,6704
Dmu58,30 × 20,4708,6577,6721
Dmu59,30 × 20,4624,6420,7109
Dmu60,30 × 20,4755,6332,6632
Dmu21,40 × 15,4380,5175,5317
Dmu22,40 × 15,4725,5577,5534
Dmu23,40 × 15,4668,5301,5620
Dmu24,40 × 15,4648,5062,5479
Dmu25,40 × 15,4164,4667,4775
Dmu61,40 × 15,5172,7393,8053
Dmu62,40 × 15,5265,6917,8091
Dmu63,40 × 15,5326,7015,8031
Dmu64,40 × 15,5250,6894,7738
Dmu65,40 × 15,5190,7087,7777
Dmu26,40 × 20,4647,5840,5908
Dmu27,40 × 20,4848,5916,6418
Dmu28,40 × 20,4692,5803,5986
Dmu29,40 × 20,4691,5844,6051
Dmu30,40 × 20,4732,5850,5988
Dmu66,40 × 20,5717,7789,8475
Dmu67,40 × 20,5813,7737,8791
Dmu68,40 × 20,5773,7676,8693
Dmu69,40 × 20,5709,8029,8634
Dmu70,40 × 20,5889,8102,8601
Dmu31,50 × 15,5640,8369,9797
Dmu32,50 × 15,5927,6273,6506
Dmu33,50 × 15,5728,6419,6192
Dmu34,50 × 15,5385,6344,6257
Dmu35,50 × 15,5635,6371,6302
Dmu71,50 × 15,6233,8369,9797
Dmu72,50 × 15,6483,9277,9926
Dmu73,50 × 15,6163,8141,9933
Dmu74,50 × 15,6220,8471,9833
Dmu75,50 × 15,6197,8350,9892
Dmu36,50 × 20,5621,6544,7213
Dmu37,50 × 20,5851,6818,7296
Dmu38,50 × 20,5713,7121,7410
Dmu39,50 × 20,5747,6605,6827
Dmu40,50 × 20,5577,7309,7325
Dmu76,50 × 20,6813,9505,9698
Dmu77,50 × 20,6822,9227,10693
Dmu78,50 × 20,6770,9555,9986
Dmu79,50 × 20,6970,9619,10936
Dmu80,50 × 20,6686,9204,9875
mean,,4623.56 ,5933.28 ,6463.81 
