Instance\REF,Opt.,"Attention, Learn to Solve Routing Problems",POMO: Policy Optimization with Multiple Optima for Reinforcement Learning,Learning to Iteratively Solve Routing Problems with Dual-Aspect Collaborative Transformer,Learning Improvement Heuristics for Solving Routing Problems,Learning Feature Embedding Refiner for Solving Vehicle Routing Problems,MVMoE: Multi-Task Vehicle Routing Solver with Mixture-of-Experts,MVMoE: Multi-Task Vehicle Routing Solver with Mixture-of-Experts,RouteFinder: Towards Foundation Models for Vehicle Routing Problems,Multi-Task Learning for Routing Problem with Cross-Problem Zero-Shot Generalization,An efficient encoder-decoder network for the capacitated vehicle routing problem,54,55,58
X-n101-k25,27591,37702,30138,32566,29136,27910,29361,29015,,32482,28892,,,
X-n106-k14,26362,28473,39322,27861,27108,26617,27278,27242,,27369,28085,,,
X-n110-k13,14971,15443,15223,16182,15629,14986,15089,15196,,15151,15432,,,29138
X-n115-k10,12747,13745,16113,13986,13409,12816,13847,13325,,14785,13587,,,27381
X-n120-k6,13332,13937,14085,16379,14073,13442,14089,13833,,13931,14212,,,15696
X-n125-k30,55539,75067,58513,72038,58157,57569,58944,58603,,60687,59728,,,13702
X-n129-k18,28940,30176,29246,30427,30279,29051,29802,29457,,30332,29838,,,14107
X-n134-k13,10916,13619,11302,13677,11885,11219,11353,11398,,11581,12851,,,62303
X-n139-k10,13590,14215,14035,14390,14256,13730,13825,13800,,13911,14083,,,30172
X-n143-k7,15700,17397,16131,18019,16738,15903,16125,16147,,16660,17081,,,13067
X-n148-k46,43448,79514,49328,,45012,48218,46758,45599,,50782,46426,,,14103
X-n153-k22,21220,37938,32476,30453,22182,23650,23793,23316,,26237,25514,,,17586
X-n157-k13,16876,21330,17660,20696,17484,17144,17650,17410,,17510,18804,,,
X-n162-k11,14138,15085,14889,,14882,14505,14654,14662,,14720,15045,,,24492
X-n167-k10,20557,22285,21822,,22258,21089,21340,21275,,21399,22116,,,18834
X-n172-k51,45607,87809,49556,,47595,52443,51292,49073,,56385,49168,,,
X-n176-k26,47812,58178,54197,,50759,50930,55520,52727,,57637,55016,,,
X-n181-k23,25569,27520,37311,27408,26102,25953,26258,26241,,26219,27838,,,
X-n186-k15,24145,25757,25222,,25991,24639,25182,24836,,25000,26021,,,
X-n190-k8,16980,36383,18315,27384,18132,18412,18327,18113,,18113,21089,,,27218
X-n195-k51,44225,79276,49158,,46204,46640,49984,48185,,54090,47162,,,
X-n200-k36,58578,76477,64618,74385,61072,60353,61530,61483,,61654,62993,,,20526
X-n209-k16,30656,,32212,,,,32033,32055,,32011,,,,
X-n219-k73,117595,,133545,,,,121046,120421,,119887,,,,68687
X-n228-k23,25742,,48689,,,,31054,28561,,33091,,,,
X-n237-k14,27042,,29893,,,,28550,28486,,28472,,,,
X-n247-k50,37274,,56167,,,,43673,41800,,45065,,,,
X-n251-k28,38684,,40263,,,,41022,40822,,40614,,,,
mean（n101-n200）,27220 ,37606 ,30848 ,,28561 ,,29182 ,28679 ,,30302 ,29590 ,#DIV/0!,#DIV/0!,23452 
,,,,,,,,,,,,,,
X-n502-k39,69226,,75617,,,,74318,76687,76004,77522,,,,
X-n513-k21,24201,,30518,,,,29419,28255,28527,28395,,,,
X-n524-k153,154593,,201877,,,,173869,172270,174508,170240,,,,
X-n536-k96,94846,,106073,,,,105737,104205,104871,104049,,,,
X-n548-k50,86700,,103093,,,,103894,102221,101196,105699,,,,
X-n561-k42,42717,,49370,,,,50151,47908,49539,48994,,,,
X-n573-k30,50673,,83545,,,,59644,63498,56851,58647,,,,
X-n586-k159,190316,,229887,,,,207459,212127,210637,213955,,,,
X-n599-k92,108451,,150572,,,,121214,119793,121424,121936,,,,
X-n613-k62,59535,,68451,,,,72504,69281,69637,69175,,,,
X-n627-k43,62164,,84434,,,,69909,69520,76403,71289,,,,
X-n641-k35,63682,,75573,,,,71854,70250,70401,74013,,,,
X-n655-k131,106780,,127211,,,,121573,130266,125846,117581,,,,
X-n670-k130,146332,,208079,,,,169681,169561,169553,169786,,,,
X-n685-k75,68205,,79482,,,,83123,79620,79617,78240,,,,
X-n701-k44,81923,,97843,,,,91378,90621,89327,93681,,,,
X-n716-k35,43373,,51381,,,,52253,50120,48106,49944,,,,
X-n733-k159,136187,,159098,,,,158140,153501,158791,155223,,,,
X-n749-k98,77269,,87786,,,,90387,87148,86630,87992,,,,
X-n766-k71,114417,,135464,,,,131081,130967,127796,131245,,,,
X-n783-k48,72386,,90289,,,,89170,84058,81011,84553,,,,
X-n801-k40,73305,,124278,,,,88535,85231,85453,93004,,,,
X-n819-k171,158121,,193451,,,,177188,180550,181984,180986,,,,
X-n837-k142,193737,,237884,,,,217447,216751,215919,217954,,,,
X-n856-k95,88965,,152528,,,,106998,102714,111865,100249,,,,
X-n876-k59,99299,,119764,,,,113637,117081,111835,114211,,,,
X-n895-k37,53860,,70245,,,,68888,65014,63392,68084,,,,
X-n916-k207,329179,,399372,,,,362826,361855,359112,369221,,,,
X-n936-k151,132715,,237625,,,,169127,163037,167240,161290,,,,
X-n957-k87,85465,,130850,,,,109249,105951,110441,107345,,,,
X-n979-k58,118976,,147687,,,,138048,134406,130503,143799,,,,
X-n1001-k43,72355,,100399,,,,91289,87594,82558,89986,,,,
mean(n502-n1001),101874 ,,131554 ,,,,117812 ,116627 ,116468 ,117447 ,,,,
