Name,Size,LB,UB,Learning to schedule job-shop problems: representation and policy learning using graph neural network and reinforcement learning,Solving job shop scheduling problems via deep reinforcement learning,ScheduleNet: Learn to solve multi-agent scheduling problems with reinforcement learning,Research on adaptive job shop scheduling problems based on dueling double DQN,Residual Scheduling: A New Reinforcement Learning Approach to Solving Job Shop Scheduling Problem,A deep reinforcement learning model for dynamic job-shop scheduling problem with uncertain processing time,Dynamic job-shop scheduling in smart manufacturing using deep reinforcement learning,A spatial pyramid pooling-based deep reinforcement learning model for dynamic job-shop scheduling problem ,Preference learning based deep reinforcement learning for flexible job shop scheduling problem,Actor-Critic Deep Reinforcement Learning for Solving Job Shop Scheduling Problems,A Deep Reinforcement Learning Based Approach for Dynamic Job Shop Scheduling Considering Variable Processing Time
la01,10×5,666,666,805,670,680,666,,666,666,,666,,
la02,10×5,655,655,687,756,768,655,,,715,,,,
la03,10×5,597,597,862,807,734,597,,,634,,,,
la04,10×5,590,590,650,716,698,609,,,665,,,,
la05,10×5,593,593,593,593,593,593,,,593,,,,
la06,15×5,926,926,926,932,926,926,,926,926,,926,,
la07,15×5,890,890,931,1012,1008,890,,,894,,,,973
la08,15×5,863,863,863,962,863,863,,,863,,,,
la09,15×5,951,951,951,985,951,951,,,951,,,,
la10,15×5,958,958,966,958,958,958,,,958,,,,
la11,20×5,1222,1222,1276,1228,1254,1222,,1222,1222,,,1222,
la12,20×5,1039,1039,1039,1050,1039,1047,,,1039,,,1111,
la13,20×5,1150,1150,1150,1150,1150,1151,,,1150,,,1181,
la14,20×5,1292,1292,1292,1292,1292,1292,,,1292,,,1292,
la15,20×5,1207,1207,1282,1477,1395,1221,,,1212,,,1288,1409
la16,10×10,945,945,1134,1051,1047,980,,1027,,,,,
la17,10×10,784,784,953,857,888,799,,,,,,,
la18,10×10,848,848,1049,947,947,859,,,,,,,
la19,10×10,842,842,880,979,963,872,,,,,,,
la20,20×10,902,902,1042,990,989,924,,,,,,,
la21,15×10,1046,1046,1309,1179,1261,1162,,1147,,1138,1222,,
la22,15×10,927,927,1158,1057,1027,1021,,997,,992.25,,,
la23,15×10,1032,1032,1085,1145,1145,1053,,1039,,1034.25,,,
la24,15×10,935,935,1129,1074,1088,1029,,1015,,993,,,
la25,15×10,977,977,1308,1099,1117,1067,,1050,,1063.25,,,
la26,20×10,1218,1218,1553,1383,1458,1327,,1283,,1243,1304,,
la27,20×10,1235,1235,1624,1515,1516,1397,,1353,,1342.5,,,
la28,20×10,1216,1216,1438,1451,1357,1386,,1305,,1278.5,,,
la29,20×10,1152,1152,1582,1389,1320,1323,,1288,,1264.7,,,
la30,20×10,1355,1355,1649,1477,1490,1417,,1395,,1395.5,,,
la31,30x10,1784,1784,1817,1894,1906,1854,,1786,,1784,,,
la32,30x10,1850,1850,1977,1902,1850,1900,,1850,,1850,,,
la33,30x10,1719,1719,1795,1826,1731,1782,,1720,,1721.75,,,
la34,30x10,1721,1721,1895,1854,1784,1880,,1746,,1737,,,
la35,30x10,1888,1888,2041,2026,1969,1941,,1896,,1905.75,,,
la36,15x15,1268,1268,1489,1426,1449,1355,,1357,,1368.75,,,
la37,15x15,1397,1397,1623,1649,1653,1540,,1511,,1507.25,,,
la38,15x15,1196,1196,1421,1398,1444,1348,,1327,,1338.5,,,
la39,15x15,1233,1233,1555,1469,1430,1357,,1343,,1340.75,,,
la40,15x15,1222,1222,1570,1400,1357,1336,,1314,,1330.25,,,
mean,,1107.28 ,1107.28 ,1258.73 ,1225.63 ,1212.38 ,1163.75 ,1116.13 ,,,,,,
