Instance\REF,Opt.,POMO: Policy Optimization with Multiple Optima for Reinforcement Learning,MVMoE: Multi-Task Vehicle Routing Solver with Mixture-of-Experts,MVMoE: Multi-Task Vehicle Routing Solver with Mixture-of-Experts,Multi-Task Learning for Routing Problem with Cross-Problem Zero-Shot Generalization,,,,,,,,,,,,,
R101,1637.7,1805.6,1798.1,1730.1,1821.2,,,,,,,,,,,,,
R102,1466.6,1556.7,1572,1574.3,1596,,,,,,,,,,,,,
R103,1208.7,1341.4,1328.2,1359.4,1327.3,,,,,,,,,,,,,
R104,971.5,1118.6,1124.8,1098.8,1120.7,,,,,,,,,,,,,
R105,1355.3,1506.4,1479.4,1456,1514.6,,,,,,,,,,,,,
R106,1234.6,1365.2,1362.4,1353.5,1380.5,,,,,,,,,,,,,
R107,1064.6,1214.2,1182.1,1196.5,1209.3,,,,,,,,,,,,,
R108,932.1,1058.9,1023.2,1039.1,1061.8,,,,,,,,,,,,,
R109,1146.9,1249,1255.6,1224.3,1265.7,,,,,,,,,,,,,
R110,1068,1180.4,1185.7,1160.2,1171.4,,,,,,,,,,,,,
R111,1048.7,1177.2,1176.1,1197.8,1211.5,,,,,,,,,,,,,
R112,948.6,1063.1,1045.2,1044.2,1057,,,,,,,,,,,,,
RC101,1619.8,2643,1774.4,1749.2,1833.3,,,,,,,,,,,,,
RC102,1457.4,1534.8,1544.5,1556.1,1546.1,,,,,,,,,,,,,
RC103,1258,1407.5,1402.5,1415.3,1396.2,,,,,,,,,,,,,
RC104,1132.3,1261.8,1265.4,1264.2,1271.7,,,,,,,,,,,,,
RC105,1513.7,1612.9,1635.5,1619.4,1644.9,,,,,,,,,,,,,
RC106,1372.7,1539.3,1505,1509.5,1552.8,,,,,,,,,,,,,
RC107,1207.8,1347.7,1351.6,1324.1,1384.8,,,,,,,,,,,,,
RC108,1114.2,1305.5,1254.2,1247.2,1274.4,,,,,,,,,,,,,
RC201,1261.8,2045.6,1577.3,1517.8,1761.1,,,,,,,,,,,,,
RC202,1092.3,1805.1,1616.5,1480.3,1486.2,,,,,,,,,,,,,
RC203,923.7,1470.4,1473.5,1479.6,1360.4,,,,,,,,,,,,,
RC204,783.5,1323.9,1286.6,1232.8,1331.7,,,,,,,,,,,,,
RC205,1154,1568.4,1537.7,1440.8,1539.2,,,,,,,,,,,,,
RC206,1051.1,1707.5,1468.9,1394.5,1472.6,,,,,,,,,,,,,
RC207,962.9,1567.2,1442,1346.4,1375.7,,,,,,,,,,,,,
RC208,776.1,1505.4,1107.4,1167.5,1185.6,,,,,,,,,,,,,
mean,1170 ,1474 ,1385 ,1364 ,1398 ,,,,,,,,,,,,,
